tournament,game,point,half,offence_defence,player_1,player_2,player_3,player_4,player_5,player_6,player_7,crash_scored,crash_turns,player_forced_ds,player_assisted,player_scored
Hamilton Round Robin,Crux,1,First,O,Dan,Greg,Morgan,Christine,Milha,Wendy,Audrey,TRUE,0,[],Morgan,Audrey
Hamilton Round Robin,Crux,2,First,D,Luke,Kevin,Adam,Jeff,Victoria,Dev,Nicole,FALSE,2,[],,
Hamilton Round Robin,Crux,3,First,O,Dan,Andy,Morgan,Jeremie,Tammy,Milha,Wendy,TRUE,1,"[""Jeremie""]",Dan,Andy
Hamilton Round Robin,Crux,4,First,D,Kevin,Jack,Jeff,Victoria,Dev,Chloe,Ellen,FALSE,2,"[""Jack""]",,
Hamilton Round Robin,Crux,5,Second,O,Andy,Greg,Jeremie,Tammy,Christine,Milha,Audrey,TRUE,1,"[""Andy""]",Greg,Jeremie
Hamilton Round Robin,Crux,6,Second,D,Luke,Kevin,Adam,Jack,Nicole,Chloe,Ellen,FALSE,3,"[""Jack"", ""Ellen""]",,
Hamilton Round Robin,Crux,7,Second,O,Dan,Andy,Greg,Morgan,Tammy,Wendy,Audrey,TRUE,0,[],Dan,Andy
Hamilton Round Robin,Crux,8,Second,D,Adam,Jack,Jeff,Victoria,Dev,Nicole,Chloe,FALSE,0,[],,
Hamilton Round Robin,Axiom,1,First,D,Luke,Kevin,Nicole,Chloe,Victoria,Jack,Dev,TRUE,0,"[""Nicole""]",Luke,Chloe
Hamilton Round Robin,Axiom,2,First,D,Andy,Greg,Milha,Wendy,Tammy,Dan,Jeremie,TRUE,2,"[""Dan""]",Milha,Dan
Hamilton Round Robin,Axiom,3,First,D,Kevin,Nicole,Chloe,Jack,Jeff,Adam,Ellen,FALSE,0,[],,
Hamilton Round Robin,Axiom,4,First,O,Andy,Milha,Wendy,Dan,Morgan,Christine,Audrey,TRUE,3,[],Morgan,Christine
Hamilton Round Robin,Axiom,5,Second,D,Luke,Kevin,Nicole,Victoria,Jeff,Ellen,Dev,TRUE,1,"[""Dev""]",Dev,Nicole
Hamilton Round Robin,Axiom,6,Second,D,Andy,Greg,Tammy,Jeremie,Morgan,Christine,Audrey,TRUE,1,"[""Tammy"", ""Jeremie""]",Morgan,Christine
Hamilton Round Robin,Axiom,7,Second,D,Kevin,Chloe,Jack,Jeff,Adam,Ellen,Dev,TRUE,1,"[""Kevin""]",Jeff,Ellen
Hamilton Round Robin,Axiom,8,Second,D,Greg,Milha,Wendy,Tammy,Dan,Morgan,Christine,FALSE,2,"[""Wendy""]",,
Hamilton Round Robin,Paradixm,1,First,D,Andy,Greg,Jeremie,Tammy,Christine,Milha,Audrey,TRUE,3,"[""Andy"", ""Jeremie""]",Andy,Tammy
Hamilton Round Robin,Paradixm,2,First,D,Luke,Kevin,Adam,Jeff,Victoria,Dev,Ellen,TRUE,1,"[""Ellen""]",Dev,Ellen
Hamilton Round Robin,Paradixm,3,First,D,Andy,Greg,Morgan,Dan,Christine,Wendy,Audrey,TRUE,1,"[""Christine""]",Andy,Greg
Hamilton Round Robin,Paradixm,4,First,D,Luke,Jack,Jeff,Victoria,Nicole,Chloe,Ellen,FALSE,0,[],,
Hamilton Round Robin,Paradixm,5,Second,O,Morgan,Dan,Jeremie,Tammy,Milha,Wendy,Audrey,TRUE,3,"[""Jeremie""]",Jeremie,Morgan
Hamilton Round Robin,Paradixm,6,Second,D,Kevin,Adam,Jack,Jeff,Dev,Nicole,Chloe,TRUE,0,"[""Jack""]",Dev,Jeff
Hamilton Round Robin,Paradixm,7,Second,D,Andy,Greg,Morgan,Jeremie,Tammy,Christine,Milha,FALSE,0,[],,
Hamilton Round Robin,Paradixm,8,Second,O,Luke,Kevin,Jack,Victoria,Dev,Chloe,Ellen,TRUE,0,[],Chloe,Ellen
MayDays,McFlick_1,1,First,O,Ellen,Jake,Sonja,Greg,Tammy,Victoria,Jack,TRUE,0,[],Jack,Jake
MayDays,McFlick_1,2,First,D,Chloe,Andy,Karen,Henri,Christine,Jeremie,Jeff,FALSE,0,[],,
MayDays,McFlick_1,3,First,O,Ellen,Jake,Milha,Luke,Sam,Morgan,Audrey,FALSE,3,[],,
MayDays,McFlick_1,4,First,O,Chloe,Andy,Wendy,Adam,Christine,Nicole,Dan,FALSE,1,[],,
MayDays,McFlick_1,5,First,O,Sonja,Greg,Milha,Luke,Tammy,Victoria,Jack,FALSE,1,[],,
MayDays,McFlick_1,6,First,O,Audrey,Karen,Henri,Adam,Nicole,Jeremie,Jeff,FALSE,1,[],,
MayDays,McFlick_1,7,First,O,Ellen,Jake,Milha,Luke,Victoria,Sam,Morgan,TRUE,1,[],Morgan,Luke
MayDays,McFlick_1,8,First,D,Chloe,Andy,Wendy,Adam,Christine,Nicole,Dan,FALSE,1,"[""Andy""]",,
MayDays,McFlick_1,9,First,O,Greg,Milha,Luke,Tammy,Victoria,Jack,Audrey,TRUE,0,[],Luke,Audrey
MayDays,McFlick_1,10,First,D,Karen,Henri,Wendy,Adam,Nicole,Jeremie,Jeff,FALSE,0,[],,
MayDays,McFlick_1,11,Second,D,Ellen,Jake,Sonja,Greg,Tammy,Sam,Morgan,FALSE,3,"[""Jake""]",,
MayDays,McFlick_1,12,Second,O,Audrey,Chloe,Andy,Karen,Henri,Christine,Dan,TRUE,0,[],Henri,Andy
MayDays,McFlick_1,13,Second,D,Ellen,Jake,Milha,Luke,Tammy,Victoria,Jack,FALSE,0,[],,
MayDays,McFlick_1,14,Second,O,Chloe,Andy,Wendy,Adam,Nicole,Jeremie,Jeff,FALSE,1,[],,
MayDays,McFlick_1,15,Second,O,Sonja,Greg,Luke,Victoria,Sam,Morgan,Audrey,FALSE,2,[],,
MayDays,McFlick_1,16,Second,O,Karen,Henri,Wendy,Adam,Christine,Nicole,Dan,TRUE,2,[] ,Adam,Nicole
MayDays,McFlick_1,17,Second,D,Ellen,Jake,Sonja,Greg,Tammy,Jack,Audrey,TRUE,0,"[""Greg""]",Jake,Sonja
MayDays,McFlick_1,18,Second,D,Chloe,Andy,Karen,Henri,Christine,Jeremie,Jeff,FALSE,1,"[""Henri""]",,
MayDays,Torque,1,First,O,Wendy,Adam,Chloe,Andy,Nicole,Dan,Jeff,TRUE,0,[],Andy,Nicole
MayDays,Torque,2,First,D,Milha,Luke,Ellen,Jake,Tammy,Victoria,Jack,TRUE,1,"[""Jack""]",Tammy,Jake
MayDays,Torque,3,First,D,Adam,Chloe,Karen,Henri,Christine,Jeremie,Audrey,TRUE,5,"[""Henri"", ""Chloe"", ""Audrey""]",Henri,Audrey
MayDays,Torque,4,First,D,Milha,Luke,Sonja,Greg,Tammy,Sam,Morgan,FALSE,2,"[""Sam""]",,
MayDays,Torque,5,First,O,Wendy,Andy,Karen,Henri,Christine,Dan,Jeff,TRUE,1,"[""Andy""]",Jeff,Andy
MayDays,Torque,6,First,D,Ellen,Jake,Sonja,Greg,Tammy,Victoria,Jack,FALSE,1,[],,
MayDays,Torque,7,First,O,Wendy,Adam,Chloe,Audrey,Nicole,Jeremie,Jeff,TRUE,3,"[""Jeremie"", ""Adam""]",Jeff,Chloe
MayDays,Torque,8,Second,D,Milha,Luke,Ellen,Jake,Victoria,Sam,Morgan,TRUE,0,[],Luke,Morgan
MayDays,Torque,9,Second,D,Chloe,Andy,Karen,Henri,Christine,Dan,Jeff,FALSE,2,"[""Karen""]",,
